DATE,PX OPEN,PX HIGH,PX LOW,PX LAST,VOLUME
2006-03-31,1712.64,1715.62,1701.86,1703.66,596445500.0
2006-04-03,1715.61,1723.06,1704.92,1706.77,614885000.0
2006-04-04,1707.22,1720.43,1705.27,1716.55,637799800.0
2006-04-05,1723.24,1735.13,1717.28,1732.74,639629300.0
2006-04-06,1734.21,1745.68,1727.14,1739.2,753035700.0
2006-04-07,1742.91,1750.23,1720.62,1723.03,632097700.0
2006-04-10,1723.81,1727.82,1712.47,1718.86,556624700.0
2006-04-11,1723.13,1725.66,1696.67,1704.4,624592700.0
2006-04-12,1705.38,1710.92,1701.29,1704.75,452256500.0
2006-04-13,1703.92,1721.05,1700.55,1712.07,501006600.0
2006-04-17,1710.91,1716.72,1684.35,1694.32,573793200.0
2006-04-18,1699.65,1730.33,1699.0,1726.64,726189600.0
2006-04-19,1729.71,1734.1,1720.64,1734.04,714179800.0
2006-04-20,1735.07,1741.35,1724.62,1728.9,742526500.0
2006-04-21,1736.73,1737.2,1701.57,1709.02,802899700.0
2006-04-24,1706.51,1711.04,1697.0,1706.44,630626900.0
2006-04-25,1710.42,1711.35,1694.52,1701.47,751540000.0
2006-04-26,1706.15,1710.0,1696.5,1702.2,621091600.0
2006-04-27,1694.35,1727.79,1688.25,1717.14,893119400.0
2006-04-28,1706.77,1717.49,1699.51,1700.71,1045820000.0
2006-05-01,1705.95,1709.44,1680.52,1686.61,705125800.0
2006-05-02,1694.74,1697.18,1686.65,1689.93,719009500.0
2006-05-03,1693.44,1693.52,1679.26,1686.3,771357700.0
2006-05-04,1687.34,1707.36,1687.34,1701.03,699073300.0
2006-05-05,1713.17,1716.19,1706.33,1713.84,647971300.0
2006-05-08,1712.6,1718.77,1712.18,1715.23,626589100.0
2006-05-09,1712.06,1715.73,1708.03,1711.17,690170700.0
2006-05-10,1705.59,1707.38,1690.9,1694.82,647000100.0
2006-05-11,1693.17,1694.47,1653.79,1657.48,792677900.0
2006-05-12,1650.24,1652.26,1634.65,1635.81,749123600.0
